,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Date
4681087,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-05-10,-38.0,-7.0,-35.0,-56.0,-24.0,12.0,2020-05-10
4681088,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-05-11,-32.0,-2.0,0.0,-42.0,-22.0,12.0,2020-05-11
4681089,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-05-12,-30.0,0.0,6.0,-43.0,-23.0,13.0,2020-05-12
4681090,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-05-13,-31.0,-1.0,4.0,-44.0,-23.0,13.0,2020-05-13
4681091,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-05-14,-30.0,-1.0,6.0,-44.0,-23.0,12.0,2020-05-14
4681092,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-05-15,-32.0,0.0,-4.0,-44.0,-23.0,15.0,2020-05-15
4681093,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-05-16,-40.0,-12.0,-52.0,-55.0,-23.0,14.0,2020-05-16
4681094,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-05-17,-32.0,-1.0,-2.0,-48.0,-20.0,9.0,2020-05-17
4681095,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-05-18,-32.0,-7.0,-20.0,-42.0,-20.0,13.0,2020-05-18
4681096,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-05-19,-29.0,-4.0,-20.0,-43.0,-22.0,14.0,2020-05-19
4681097,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-05-20,-26.0,1.0,-6.0,-41.0,-21.0,12.0,2020-05-20
