,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Date
5679243,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-06-16,-28.0,-13.0,-9.0,-24.0,-23.0,10.0,2020-06-16
5679244,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-06-17,-32.0,-18.0,-11.0,-26.0,-24.0,11.0,2020-06-17
5679245,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-06-18,-33.0,-20.0,-15.0,-29.0,-25.0,11.0,2020-06-18
5679246,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-06-19,-36.0,-22.0,-14.0,-31.0,-26.0,12.0,2020-06-19
5679247,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-06-20,-48.0,-32.0,-22.0,-37.0,-29.0,13.0,2020-06-20
5679248,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-06-21,-48.0,-38.0,-27.0,-41.0,-17.0,11.0,2020-06-21
5679249,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-06-22,-23.0,-9.0,-5.0,-21.0,-26.0,11.0,2020-06-22
5679250,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-06-23,-28.0,-16.0,-8.0,-24.0,-26.0,10.0,2020-06-23
5679251,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-06-24,-30.0,-17.0,-9.0,-24.0,-25.0,10.0,2020-06-24
5679252,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-06-25,-30.0,-19.0,-12.0,-26.0,-27.0,11.0,2020-06-25
5679253,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-06-26,-33.0,-20.0,-13.0,-28.0,-26.0,11.0,2020-06-26
5679254,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-06-27,-46.0,-31.0,-21.0,-35.0,-29.0,12.0,2020-06-27
5679255,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-06-28,-45.0,-34.0,-24.0,-37.0,-16.0,9.0,2020-06-28
5679256,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-06-29,-22.0,-9.0,-6.0,-21.0,-25.0,10.0,2020-06-29
5679257,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-06-30,-26.0,-14.0,-9.0,-25.0,-24.0,9.0,2020-06-30
5679258,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-07-01,-29.0,-17.0,-10.0,-26.0,-25.0,10.0,2020-07-01
5679259,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-07-02,-27.0,-15.0,-11.0,-25.0,-25.0,10.0,2020-07-02
5679260,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-07-03,-28.0,-14.0,-11.0,-26.0,-23.0,10.0,2020-07-03
5679261,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-07-04,-42.0,-27.0,-19.0,-33.0,-28.0,11.0,2020-07-04
5679262,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-07-05,-39.0,-26.0,-17.0,-32.0,-15.0,7.0,2020-07-05
5679263,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-07-06,-16.0,-2.0,0.0,-16.0,-23.0,8.0,2020-07-06
5679264,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-07-07,-19.0,-6.0,-2.0,-19.0,-23.0,8.0,2020-07-07
5679265,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-07-08,-24.0,-11.0,-6.0,-21.0,-22.0,8.0,2020-07-08
5679266,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-07-09,-22.0,-10.0,-7.0,-22.0,-23.0,9.0,2020-07-09
5679267,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-07-10,-24.0,-10.0,-6.0,-23.0,-21.0,9.0,2020-07-10
5679268,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-07-11,-40.0,-26.0,-16.0,-30.0,-26.0,10.0,2020-07-11
5679269,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-07-12,-37.0,-25.0,-15.0,-30.0,-14.0,7.0,2020-07-12
5679270,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-07-13,-11.0,2.0,2.0,-14.0,-21.0,7.0,2020-07-13
5679271,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-07-14,-18.0,-6.0,-2.0,-18.0,-22.0,7.0,2020-07-14
5679272,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-07-15,-20.0,-8.0,-4.0,-19.0,-21.0,7.0,2020-07-15
5679273,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-07-16,-19.0,-7.0,-5.0,-19.0,-21.0,8.0,2020-07-16
5679274,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-07-17,-23.0,-10.0,-6.0,-21.0,-20.0,8.0,2020-07-17
